ID,AADT,Length,NumLane,LWIDTH,FuncDum,Shoulder,SHType,SHWidth,SHMark,Median,MedWidth,Medmark,TERRDUM,curv,SEAL,SPEED,LowSp,MedSp,HiSp,PerHV,LOSDUM,ROUGH,RUTT,Rain,Sun,THUNDER,WIND,Fatal,Major,Minor,Crash
65,11366.5,1745,2,2.7,1,0,0,4,0,1,0,1,0,0.1629,1,100,0,0,1,"15,295",0,65,6.95,0,"2,333",20,10,1,0,0,1
66,5888.75,3181,4,2.8,1,1,0,0,0,0,13.2,0,0,0.3298,1,110,0,0,1,7.84,0,27,"1,467",50,"2,333",20,10,0,0,0,0
67,24348.75,10503,4,2.4,1,0,0,2.9,0,0,11,0,0,0.1959,1,100,0,0,1,6.41,0,"35,182","4,227",50,"2,333",20,10,1,17,3,21
68,48777,400,1,2.6,0,0,1,0.6,0,0,12.3,0,0,0.121,0,20,1,0,0,11.48,0,0,0,0,"2,333",20,10,0,2,0,2
69,48777,401,4,2.3,1,0,0,3.5,0,0,12,0,0,0.138,1,110,0,0,1,11.48,0,36,1.3,0,"2,333",20,10,0,0,0,0
70,48777,461,4,2.4,1,1,0,0,0,0,12,0,0,0.1516,1,110,0,0,1,11.48,0,34,3,0,"2,333",20,10,0,1,0,1
71,48777,3941,4,2.7,1,0,0,2.5,0,0,12.5,0,0,0.1371,1,110,0,0,1,11.48,0,37.25,"1,675",0,"2,333",20,10,1,3,1,5
72,3805.25,2816,4,2.7,1,0,0,2.5,0,0,12.5,0,0,0.1173,1,110,0,0,1,"123,275",0,31,6.6,0,"2,333",20,10,0,2,0,2
73,3805.25,2824,4,2.7,1,0,0,1.5,0,0,12.5,0,0,0.1125,1,110,0,0,1,"123,275",0,41,7.65,0,"2,333",20,10,0,3,0,3
74,5111,3249,3,2.7,0,0,0,3,0,1,0,1,1,0.6427,1,70,0,1,0,29.88,0,75.25,"4,575",50,"2,333",20,10,0,6,1,7
75,13540,1276,4,3,0,1,0,0,0,0,5.3,0,0,0.1789,1,60,0,1,0,20.19,0,49.5,3.7,50,"2,333",20,10,0,7,3,10
76,42665.75,736,4,2.8,0,1,0,0,0,0,2,0,0,0.318,1,60,0,1,0,19.17,1,63,5,0,"2,667",20,10,0,9,3,12
77,16666,4052,4,2.5,0,1,0,0,0,0,3.6,0,0,"13,622",1,60,0,1,0,3.64,0,63.5,"5,325",0,"2,333",20,13,0,31,6,37
78,14254.25,3527,4,3.2,0,1,0,0,0,0,3,0,0,"11,249",1,60,0,1,0,"28,375",0,64.6,2.68,30,"2,667",50,12,0,17,5,22
79,5358.75,8063,2,2.4,1,0,0,0.9,0,1,0,1,0,0.4211,1,90,0,1,0,5.72,0,"87,286","5,014",50,"2,667",50,12,0,6,1,7
80,1790.5,5174,2,2.5,1,0,0,0.6,0,1,0,0,1,"21,889",1,80,0,1,0,"11,645",0,87.6,4.32,0,"2,333",20,15,0,6,0,6
81,14957,4322,4,3,0,1,0,0,0,0,3,0,0,0.7163,1,70,0,1,0,"4,205",0,66.6,5.5,0,"2,333",20,15,0,14,2,16
82,4052.25,1490,3,2.7,1,1,0,0,0,0,3.5,0,0,0.5976,1,60,0,1,0,"11,405",0,93,5.1,0,"2,333",20,12,0,5,1,6
83,4052.25,1481,4,2.7,1,1,0,0,0,0,3.5,0,0,0.6485,1,60,0,1,0,"11,405",0,97,4.9,0,"2,333",20,12,0,6,0,6
84,12843.25,1501,2,2.6,1,1,0,0,0,0,3,0,0,0.408,1,60,0,1,0,"80,375",1,"57,667","7,167",0,"2,333",20,12,1,3,1,5
85,12961.25,646,1,2.5,0,0,0,2.3,0,0,4,0,0,0.0736,0,20,1,0,0,"5,515",0,0,0,0,"2,333",20,12,0,1,1,2
86,28173.5,3349,4,2.6,0,1,0,0,0,0,6.5,0,0,0.6924,1,60,0,1,0,"64,825",0,50.5,"3,125",0,"2,333",20,12,0,19,0,19
87,28173.5,4811,4,2.6,0,1,0,0,0,0,5,0,0,"10,718",1,60,0,1,0,"64,825",0,53.4,3.7,0,"2,333",20,12,1,9,1,11
88,3037.25,2359,2,2.5,1,0,0,2.1,0,1,0,0,0,0.3202,1,70,0,1,0,"91,175",0,92.5,4.2,50,"2,333",20,12,0,0,0,0
89,2620,5974,2,2.5,1,0,0,2.1,0,1,0,0,0,0.6686,1,70,0,1,0,"46,175",0,90,"4,917",50,"2,333",20,12,1,6,2,9
90,9978.25,4831,2,2.5,1,1,0,0,0,1,0,0,0,0.2055,1,100,0,0,1,"172,775",0,61.2,4.18,0,"2,667",20,16,0,3,1,4
91,12944.25,565,2,3.2,0,1,0,0,0,0,2.25,0,1,"41,484",1,60,0,1,0,"29,375",1,70,1.7,0,"2,667",20,16,0,10,0,10
92,26164,2191,4,3,0,0,0,7,0,0,17.5,0,0,0.7158,1,80,0,1,0,2.79,0,45,1.4,"33,333","2,333",20,12,1,13,1,15
93,14203.25,1207,2,2.9,0,1,0,0,0,1,0,0,0,0.2357,1,60,0,1,0,"40,525",0,49,2.5,0,"2,667",20,19,0,7,0,7
94,8599.25,1457,2,3,0,0,0,2.8,0,1,0,0,0,0.3035,1,80,0,1,0,"6,495",0,63,5.6,"33,333",3,30,17,0,2,1,3
95,4764.5,1386,4,2.4,1,1,0,0,1,0,4.5,1,0,0.3689,1,60,0,1,0,"9,875",0,127.5,3.9,"33,333","2,333",20,12,0,4,2,6
96,6426,3683,2,2.6,1,1,0,0,1,1,0,1,0,0.5696,1,60,0,1,0,"109,075",0,"81,333","1,633",0,"2,333",20,23,0,6,1,7
97,26315.25,1594,4,2.7,0,1,0,0,1,0,4,0,0,0.6317,1,70,0,1,0,"6,935",0,80,7.5,0,"2,333",20,24,0,12,0,12
98,29333,1157,4,2.9,0,1,0,0,0,0,1,0,1,0.8864,1,70,0,1,0,"60,475",0,65.5,2.45,0,"2,333",20,24,0,14,1,15
99,23560.25,1556,4,3,0,1,0,0,0,0,1.8,0,0,0.5595,1,60,0,1,0,"4,345",0,66,4.7,"33,333","2,333",20,16,0,5,3,8
100,23560.25,1492,4,3,0,1,0,0,0,0,1.8,0,0,0.8434,1,60,0,1,0,"4,345",0,69,5,"33,333","2,333",20,16,0,5,0,5
101,27715,2503,4,2.8,0,1,0,0,0,0,4,0,0,0.4441,1,70,0,1,0,"5,685",0,55.5,3.7,0,"2,333",20,15,0,16,2,18
102,31595.75,1573,4,3,0,1,0,0,0,0,2.2,0,0,0.2552,1,70,0,1,0,4.23,0,54,5.3,50,"2,667",20,12,2,18,0,20
103,10964.75,1002,3,2.9,0,1,0,0,0,1,0,1,0,"17,114",1,80,0,1,0,"5,275",1,91,3.25,0,"2,333",20,13,0,6,4,10
104,29341,631,4,3,0,1,0,0,0,0,4,0,0,"11,703",1,70,0,1,0,"5,845",0,55.5,4.65,50,"2,333",20,18,0,15,10,25
105,11288.5,1823,2,3.2,0,0,0,0.9,0,1,0,0,0,0.6805,1,60,0,1,0,"40,975",1,87,5.9,50,"2,333",20,18,0,3,2,5
106,12959.25,348,1,2.6,0,1,0,0,1,0,1.8,0,0,0.4259,0,20,1,0,0,3.63,0,0,0,50,"2,333",20,18,0,0,0,0
107,12959.25,571,2,4,0,1,0,0,1,1,0,0,1,"18,668",1,60,0,1,0,3.63,1,93,3.5,50,"2,333",20,18,0,15,5,20
108,12959.25,348,1,2.6,0,1,0,0,1,0,1.8,0,0,0.4259,0,20,1,0,0,3.63,0,0,0,50,"2,667",20,11,0,0,0,0
109,33773.75,12484,4,3,0,1,0,0,0,0,3,0,0,0.9061,1,70,0,1,0,"61,725",0,69,"3,233",50,"2,333",20,11,1,95,11,107
110,29341,913,1,3,0,1,0,0,1,0,4,0,0,0.3128,0,20,1,0,0,"5,845",0,0,0,0,"2,333",20,15,1,12,1,14
111,12723,1658,2,3,0,1,0,0,0,1,0,0,1,"31,076",1,60,0,1,0,6.88,0,75.5,2.7,50,"2,333",20,15,0,8,2,10
112,36444.5,3593,5,3,0,1,0,0,0,0,5,0,0,0.4024,1,70,0,1,0,4.16,0,53,3.85,50,"2,333",20,15,1,24,2,27
113,36934.5,1699,4,3,0,1,0,0,0,0,3.2,0,0,0.5251,1,60,0,1,0,"3,485",0,56.5,2.8,50,"2,333",20,15,0,13,3,16
114,12944.25,559,2,3,0,1,0,0,0,0,2,0,1,"41,484",1,60,0,1,0,"29,375",1,70,1.7,50,"2,333",20,15,0,16,1,17
115,14254.25,3529,4,3,0,1,0,0,0,0,3,0,0,"11,321",1,60,0,1,0,"28,375",0,62,2.82,50,"2,333",20,15,0,12,5,17
116,13871,453,1,2.5,0,0,0,5,0,0,10,0,0,0.06,0,20,1,0,0,"53,675",0,0,0,50,"2,333",20,15,0,0,0,0
117,97940.5,272,1,3.4,0,1,0,0,0,0,12,0,0,0.3155,0,20,1,0,0,0,0,0,0,50,"2,333",20,15,0,2,0,2
118,37454,4941,4,2.7,1,0,0,0.6,0,0,11.3,0,0,0.315,1,110,0,0,1,"14,765",0,37.6,4.84,50,"2,333",20,22,0,9,1,10
119,18937.5,544,1,3.4,0,0,0,3.7,0,1,0,1,0,0.097,0,20,1,0,0,"63,925",0,0,0,0,0,20,16,0,1,0,1
120,7546.75,4061,2,3,0,0,0,6.3,0,1,0,1,0,0.1631,1,70,0,1,0,"4,365",1,71,"3,367",37.5,"2,333",20,13,0,17,3,20
121,48777,469,1,3,0,0,0,2.5,0,1,0,1,0,0.161,0,20,1,0,0,11.48,0,0,0,37.5,"2,333",20,13,0,3,0,3
122,1206.5,874,2,2.9,1,0,0,0.9,0,1,0,1,0,"18,916",1,60,0,1,0,5.86,0,89,1.8,40,"2,667",25,17,0,3,0,3
123,97940.5,257,1,3,0,1,0,0,0,0,14,0,0,0.2997,0,20,1,0,0,0,0,0,0,50,"2,333",20,15,0,0,0,0
124,97940.5,393,1,3.5,0,0,0,2.3,0,1,0,1,0,0.352,0,20,1,0,0,0,0,0,0,40,"2,667",30,15,0,3,1,4
125,92435,2854,6,2.8,0,0,0,4,0,0,10.8,0,0,0.1121,1,100,0,0,1,7.83,1,32,"2,967",40,"2,667",30,15,0,10,1,11
126,57386,827,4,2.8,1,0,1,2.3,0,0,12.6,0,0,0.1481,1,100,0,0,1,10.85,1,43,2.2,40,"2,667",25,15,0,3,2,5
127,18727,3219,4,2.6,1,0,0,2.7,0,0,14,0,0,0.3349,1,110,0,0,1,"172,675",0,"20,333",2.1,"26,667",2.4,30,15,0,2,0,2
128,2430.75,202,1,4.3,0,1,0,0,0,1,0,1,0,"16,469",0,20,1,0,0,13.87,0,0,0,0,"2,667",25,15,0,0,0,0
129,97940.5,2937,6,3.2,0,1,0,0,0,0,14.8,0,0,0.1931,0,20,1,0,0,0,0,0,0,0,"2,333",25,10,0,7,0,7
130,111834.25,3059,7,3.2,0,0,0,0.6,0,0,13.1,0,0,0.3179,1,100,0,0,1,9.84,1,39.25,"4,675",0,"2,333",25,24,0,21,0,21
131,56649,2279,4,3.2,1,0,0,6,0,0,12.2,0,0,0.2606,1,100,0,0,1,11.84,1,"44,333",2.3,0,"2,333",25,16,0,1,0,1
132,8116.75,1693,2,3.2,0,1,0,0,1,1,0,1,0,0.7854,1,60,0,1,0,"48,025",0,71.5,1.65,30,0,20,13,0,9,2,11
133,27607.5,993,4,3,0,1,0,0,1,0,10,0,1,"25,528",1,70,0,1,0,3.41,0,54.5,2.6,30,"2,333",20,13,0,1,0,1
134,1611.75,436,1,2.5,0,0,0,2.4,0,1,0,1,0,0.168,0,20,1,0,0,"116,525",0,0,0,50,"2,333",25,18,1,1,0,2
135,12360.75,1333,4,3.2,1,1,0,0,1,0,16,0,1,0.9607,1,60,0,1,0,"58,025",0,70.5,2.25,"33,333",3,40,14,0,0,0,0
136,13871,679,6,3.2,0,0,0,2.5,0,0,10.5,0,0,0.1476,1,100,0,0,1,"53,675",1,36,2.2,"26,667","2,667",25,14,0,1,0,1
137,97940.5,447,6,3.5,0,0,0,0.9,0,0,10.1,0,0,0.3064,1,100,0,0,1,0,1,28,3.5,"33,333",3,50,14,0,1,0,1
138,92435,2861,6,3,0,0,0,3.2,0,0,10,0,0,0.104,1,100,0,0,1,7.83,1,"30,333",2.7,40,"2,667",40,14,0,6,1,7
139,23430,1387,4,3.4,0,1,0,0,1,0,3,0,0,"12,393",0,20,1,0,0,0,0,0,0,"26,667","2,667",25,14,1,13,6,20
140,29605,2010,4,3.2,0,1,0,0,1,0,4,1,0,0.3723,1,70,0,1,0,0,0,63,2.2,"26,667","2,667",25,14,1,13,2,16
141,97940.5,463,1,3.5,0,0,0,0.6,0,1,0,1,0,0.301,0,20,1,0,0,0,0,0,0,30,2.4,25,14,0,1,0,1
142,57386,1336,4,2.8,1,0,0,2.3,0,0,13.2,0,0,0.3481,1,100,0,0,1,10.85,1,32,2.1,30,"2,667",20,11,0,2,0,2
143,88419.75,988,6,2.7,0,1,0,0,0,0,10.3,0,0,0.0619,1,100,0,0,1,11.23,1,27,2.1,"33,333","2,333",25,13,0,0,0,0
144,53968.5,4962,4,2,0,0,0,2.3,0,0,14.3,0,0,0.0949,1,110,0,0,1,"98,675",1,46.8,5.02,"33,333","2,333",25,13,0,12,0,12
145,13601.25,1699,2,3.2,0,1,0,0,0,1,0,1,0,"10,179",1,60,0,1,0,"3,445",1,68,2.8,"33,333","2,333",25,12,0,7,5,12
146,97940.5,4060,6,2.7,0,1,0,0,0,0,10.6,0,0,0.2225,0,20,1,0,0,0,0,0,0,0,"2,333",25,12,0,6,1,7
147,30227,3144,4,2.6,1,1,0,0,0,0,8,0,0,"19,165",1,60,0,1,0,"4,205",0,"71,667","3,333",50,"2,625",20,11,1,27,6,34
148,10833.75,310,1,2.5,0,1,0,0,0,1,0,1,0,0.4195,0,20,1,0,0,4.95,0,0,0,"33,333","2,333",25,16,0,0,0,0
149,53968.5,4853,4,2.5,0,0,0,2.5,0,0,11.8,0,0,0.1062,1,110,0,0,1,"98,675",1,42.4,8.04,0,"2,333",20,16,1,2,3,6
150,12360.75,575,4,2.6,1,0,0,2.1,0,0,18,0,1,"20,526",1,60,0,1,0,"58,025",0,74,2.1,"33,333","2,333",20,16,0,1,0,1
151,13871,487,6,2.9,0,0,0,4,0,0,12,0,0,0.0873,1,100,0,0,1,"53,675",1,27,1.6,"33,333","2,333",20,16,0,1,0,1
152,97940.5,385,6,3,0,1,0,0,0,0,9.7,0,0,0.3214,1,100,0,0,1,0,1,41,3.4,"33,333","2,333",20,16,0,1,0,1
153,24348.75,9972,4,2.5,1,0,0,2.6,0,0,9.5,0,0,0.1828,1,110,0,0,1,6.41,0,33.9,4.52,0,"2,333",20,12,3,13,3,19
154,16573.25,3748,2,3.4,0,0,0,2.1,0,1,0,1,0,0.4318,1,60,0,1,0,"169,125",1,"57,333","3,833",0,"2,333",20,12,1,14,2,17
155,31595.75,6282,4,3,0,1,0,0,0,0,3.5,0,0,0.5674,1,60,0,1,0,4.23,0,"69,333","3,733","33,333","2,333",20,12,3,58,15,76
156,13540,1195,4,2.5,0,1,0,0,0,0,5,0,0,0.1535,1,60,0,1,0,20.19,0,54,4.6,0,"2,333",20,15,0,3,2,5
157,111834.25,3103,6,2.5,0,0,0,15,0,0,15,0,0,0.3073,1,100,0,0,1,9.84,1,38.25,3.95,0,"2,333",20,15,1,12,1,14
